Date,Visitors
2011-01-31,175944
2011-02-28,141230
2011-03-31,184193
2011-04-30,177894
2011-05-31,199465
2011-06-30,200852
2011-07-31,272101
2011-08-31,353191
2011-09-30,287727
2011-10-31,255330
2011-11-30,219011
2011-12-31,244759
2012-01-31,249356
2012-02-29,178749
2012-03-31,249111
2012-04-30,287868
2012-05-31,300318
2012-06-30,331347
2012-07-31,439289
2012-08-31,559802
2012-09-30,433255
2012-10-31,400427
2012-11-30,347861
2012-12-31,328491
2013-01-31,290114
2013-02-28,275015
2013-03-31,331060
2013-04-30,338558
2013-05-31,377694
2013-06-30,425624
2013-07-31,510039
2013-08-31,712493
2013-09-30,506072
2013-10-31,460203
2013-11-30,388519
2013-12-31,339057
2014-01-31,327326
2014-02-28,280861
2014-03-31,369236
2014-04-30,355844
2014-05-31,369341
2014-06-30,388906
2014-07-31,532717
2014-08-31,713435
2014-09-30,496842
2014-10-31,438920
2014-11-30,366455
2014-12-31,364448
2015-01-31,319735
2015-02-28,279589
2015-03-31,357000
2015-04-30,355549
2015-05-31,412806
2015-06-30,417043
2015-07-31,581264
2015-08-31,775545
2015-09-30,535073
2015-10-31,461760
2015-11-30,386894
2015-12-31,373741
2016-01-31,304060
2016-02-29,305257
2016-03-31,379540
2016-04-30,381874
2016-05-31,463705
2016-06-30,414228
2016-07-31,578494
2016-08-31,746414
2016-09-30,593962
2016-10-31,478741
2016-11-30,384125
2016-12-31,362416
2017-01-31,361707
2017-02-28,316852
2017-03-31,423173
2017-04-30,446436
2017-05-31,496801
2017-06-30,531224
2017-07-31,763593
2017-08-31,940129
2017-09-30,722189
2017-10-31,563122
2017-11-30,458869
2017-12-31,458735
2018-01-31,439918
2018-02-28,394105
2018-03-31,484989
2018-04-30,529892
2018-05-31,541752
2018-06-30,606792
2018-07-31,845588
2018-08-31,1040544
2018-09-30,763529
2018-10-31,611152
2018-11-30,485319
2018-12-31,459770
2019-01-31,437218
2019-02-28,389218
2019-03-31,507064
2019-04-30,549761
2019-05-31,618709
2019-06-30,727634
2019-07-31,882331
2019-08-31,1086596
2019-09-30,784280
2019-10-31,665055
2019-11-30,543176
2019-12-31,534732
